行政區,地址,樓層,型態,主要用途,房間,客廳,衛浴,有無傢俱,租金,車位類別,備註,出租型態,有無管理員,有無電梯,附屬設備
南屯區,臺中市南屯區黎明路二段８７號,全,透天厝,住商用,6,3,7,有,13500,,多人共同承租2；租金總額含網路費；,分租套房,無,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路
西屯區,臺中市西屯區西屯路二段２４７號１０樓之１７,十層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,18500,,租金總額含管理費；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
西區,臺中市西區民生路１３５號二十樓之８,二十層,住宅大樓(11層含以上有電梯),集合住宅,1,0,1,有,8500,,社會住宅包租代管公會版4期1013合約不足一年多人共同承租2；,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
北區,臺中市北區天祥街２２４號５樓之５,五層,住宅大樓(11層含以上有電梯),住家用,3,2,2,有,15800,,,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
北屯區,臺中市北屯區長生巷３弄２１號,全,透天厝,住家用,3,2,2,有,16000,,續租案件；,整棟(戶)出租,無,無,熱水器、洗衣機
北屯區,臺中市北屯區軍福十六街２７３號６樓之１７,六層,住宅大樓(11層含以上有電梯),住家用,3,2,2,有,25500,坡道平面,租金總額含管理費；,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
北屯區,臺中市北屯區太和一街１２３號三樓之３,三層,住宅大樓(11層含以上有電梯),集合住宅,3,2,2,有,23000,坡道平面,,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
西屯區,臺中市西屯區廣福路１６３巷５９弄１８號,全,透天厝,住宅、停車空間、樓梯間,5,2,3,有,31500,,多人共同承租2；,整棟(戶)出租,無,無,冷氣、熱水器、冰箱
西屯區,臺中市西屯區順平路２１８號,全,透天厝,店鋪、住宅、機械室、樓梯間、水塔室,67,67,67,有,16000,,多人共同承租2；租金總額含水費；網路費；含增建或未登記建物；,分租套房,無,有,冷氣、洗衣機、電視機、冰箱、網路
西屯區,臺中市西屯區西屯路三段１５９之１２號十四樓之１,十四層,住宅大樓(11層含以上有電梯),住家用,3,2,2,有,20000,,續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
神岡區,臺中市神岡區大富路６１巷６４號,一層,工廠,康樂室　廠房　辦公室　單身員工宿舍,0,0,0,無,40000,,建物面積534.77平方公尺，租賃建物部分範圍：221.48平方公尺。租賃建物部分範圍，且未計入共有部分面積；,,無,無,
中區,臺中市中區光復路１３５號,全,透天厝,人行道，補習班，住房，機械室，停車空間，樓梯間，電梯間,16,0,16,有,12000,,多人共同承租2；,分租套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱
西區,臺中市西區日興街９８號十樓之八,十層,華廈(10層含以下有電梯),辦公室,1,1,1,有,20600,坡道機械,多人共同承租2；續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
中區,臺中市中區民權路２２號１１樓之１,十一層,住宅大樓(11層含以上有電梯),集合住宅,1,0,1,有,6800,,房屋租金6800/月，管理費900/月續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
北區,臺中市北區中華路二段１７９號３樓３０６室,全,透天厝,停車空間、住宅、樓梯間、店舖、人行道,24,10,24,無,8700,,租賃建物部分範圍，且未計入共有部分面積；,分租套房,無,無,冷氣、網路
北區,臺中市北區三民路三段２１７號１２樓之１２,十二層,住宅大樓(11層含以上有電梯),寄宿舍,1,1,1,有,9500,,,獨立套房,有,有,冷氣、熱水器、冰箱
北區,臺中市北區瑞祥街２７-７號,四層,公寓(5樓含以下無電梯),住家用,4,0,4,有,5500,,如網速不夠將由房客自行向網路公司申請處理。租金總額含水費；網路費；其他第四台；租賃建物部分範圍，且未計入共有部分面積；續租案件；,分租套房,無,無,冷氣、熱水器、電視機、冰箱、有線電視、網路
北屯區,臺中市北屯區天津路四段１２５巷１６號,全,透天厝,住家用,3,1,3,有,16000,,多人共同承租2；,分層出租,無,無,冷氣、熱水器、洗衣機、電視機、冰箱
北區,臺中市北區金龍街３６巷６號４樓之１,四層,公寓(5樓含以下無電梯),住家用,3,2,2,有,17000,,續租案件；,整棟(戶)出租,無,無,冷氣、熱水器、冰箱、瓦斯或天然氣
西屯區,臺中市西屯區至善路３８巷５８號八樓之１０,八層,華廈(10層含以下有電梯),住家用,1,1,1,有,14800,,續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、冰箱
清水區,臺中市清水區港都五路３１號十樓之２,十層,住宅大樓(11層含以上有電梯),集合住宅,2,2,1,有,17000,坡道平面,,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
太平區,臺中市太平區東平路６４０巷５號七樓,七層,住宅大樓(11層含以上有電梯),集合住宅,3,2,2,有,18500,,,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
西區,臺中市西區忠明南路３２５號９樓之２,九層,住宅大樓(11層含以上有電梯),集合住宅,1,0,1,有,11000,,,獨立套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱
西區,臺中市西區公正路２６４巷３號５樓,五層,公寓(5樓含以下無電梯),住家用,3,2,2,有,15000,,此為台中市政府社會住宅包租代管計畫。續租案件；,整棟(戶)出租,無,無,冷氣、熱水器、瓦斯或天然氣
南區,臺中市南區學府路８８之１號十樓之一,十層,住宅大樓(11層含以上有電梯),集合住宅,2,2,1,有,25000,坡道平面,租金總額含管理費；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
北屯區,臺中市北屯區軍福十九路１２號十五樓之２,十五層,住宅大樓(11層含以上有電梯),住家用,3,2,2,有,25000,,未租賃車位，建物登記含有車位面積；續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
北屯區,臺中市北屯區文心路四段２８８號１７樓之１８,十七層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,22000,坡道機械,租金總額含管理費；續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
北屯區,臺中市北屯區文心路四段９９３號１４樓之５,十四層,住宅大樓(11層含以上有電梯),住家用,3,2,1,有,22000,,社會住宅管理費2000元、水電瓦斯另由承租人負擔未租賃車位，建物登記含有車位面積；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
北區,臺中市北區美德街１９１之２號,三層,公寓(5樓含以下無電梯),住家用,4,1,4,有,18000,,多人共同承租2；,整棟(戶)出租,無,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
北屯區,臺中市北屯區信平路１３０號９樓之１３,九層,華廈(10層含以下有電梯),集合住宅,3,2,2,有,44000,坡道平面,租金總額含管理費；其他租金已含管理費、車位清潔費；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
西屯區,臺中市西屯區西屯路三段１５０之５８號,一層,店面(店鋪),停車空間、人行道、店舖、住宅、梯間,0,0,0,無,25000,,租金總額含稅；,,無,無,
西屯區,臺中市西屯區西屯路三燦１６６之１００號９樓之１２,九層,住宅大樓(11層含以上有電梯),住家用,2,1,2,有,23000,坡道機械,租金總額含管理費；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
南屯區,臺中市南屯區保安?街１５０號二樓之３,二層,華廈(10層含以下有電梯),寄宿舍,1,0,1,有,11800,,,獨立套房,有,有,冷氣、熱水器、洗衣機、冰箱
西屯區,臺中市西屯區西屯路二段２４７號４樓之１２,四層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,22000,坡道機械,租金總額含管理費；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
西屯區,臺中市西屯區西屯路二段２４７號１０樓之１１,十層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,22000,坡道機械,多人共同承租2；租金總額含管理費；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
南屯區,臺中市南屯區保安十街１５０號４樓之１５,四層,華廈(10層含以下有電梯),寄宿舍,1,0,1,有,11800,,續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、冰箱
南屯區,臺中市南屯區保安十街１５０號２樓之８,二層,華廈(10層含以下有電梯),寄宿舍,1,0,1,有,15000,,續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、冰箱
西屯區,臺中市西屯區福上巷２１４號三樓之９,三層,華廈(10層含以下有電梯),商業用,1,0,1,有,7000,,,獨立套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱
梧棲區,臺中市梧棲區港埠路二段１３８號７樓之８,七層,住宅大樓(11層含以上有電梯),集合住宅,2,2,1,有,15000,,未租賃車位，建物登記含有車位面積；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
霧峰區,臺中市霧峰區草湖路６２號３樓之７,三層,住宅大樓(11層含以上有電梯),集合住宅,7,0,7,有,6800,,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,分租套房,有,有,冷氣、熱水器、冰箱、網路
霧峰區,臺中市霧峰區草湖路６２號６樓之６,六層,住宅大樓(11層含以上有電梯),集合住宅,6,0,6,有,7800,,多人共同承租2；租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,分租套房,有,有,冷氣、熱水器、冰箱、網路
霧峰區,臺中市霧峰區草湖路６２號１０樓之６,十層,住宅大樓(11層含以上有電梯),集合住宅,6,0,6,有,8000,,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,分租套房,有,有,冷氣、熱水器、冰箱、網路
龍井區,臺中市龍井區新興路東興巷１９號,全,透天厝,住商用,6,0,6,有,4500,,租金總額含水費；其他第四台；,分租套房,無,無,冷氣、熱水器、電視機、冰箱、有線電視
