opendata_rent_0811_1021
鄉鎮市區,交易標的,土地位置建物門牌,租賃層次,總樓層數,建物型態,主要用途,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,shifting level,total floor number,building state,main use,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
南屯區,租賃房屋,臺中市南屯區黎明路二段８７號,全,4,透天厝,住商用,6,3,7,有,無,有,13500,455,,0.0,0,多人共同承租2；租金總額含網路費；,分租套房,無,1140815~1150831,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
西屯區,租賃房屋,臺中市西屯區西屯路二段２４７號１０樓之１７,十層,11,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,有,有,18500,257,,0.0,0,租金總額含管理費；,整棟(戶)出租,有,1140905~1150904,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般代管
西區,租賃房屋,臺中市西區民生路１３５號二十樓之８,二十層,22,住宅大樓(11層含以上有電梯),集合住宅,1,0,1,有,有,有,8500,195,,0.0,0,社會住宅包租代管公會版4期1013合約不足一年多人共同承租2；,獨立套房,有,1140811~1150610,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
北區,租賃房屋,臺中市北區天祥街２２４號５樓之５,五層,12,住宅大樓(11層含以上有電梯),住家用,3,2,2,有,有,有,15800,140,,0.0,0,,整棟(戶)出租,有,1140815~1150814,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
北屯區,租賃房屋,臺中市北屯區長生巷３弄２１號,全,2,透天厝,住家用,3,2,2,有,無,有,16000,156,,0.0,0,續租案件；,整棟(戶)出租,無,1140910~1150909,無,熱水器、洗衣機,社會住宅包租轉租
北屯區,租賃房屋+車位,臺中市北屯區軍福十六街２７３號６樓之１７,六層,15,住宅大樓(11層含以上有電梯),住家用,3,2,2,有,有,有,25500,148,坡道平面,30.97,0,租金總額含管理費；,整棟(戶)出租,有,1140812~1150811,有,冷氣、熱水器、瓦斯或天然氣,一般代管
北屯區,租賃房屋+車位,臺中市北屯區太和一街１２３號三樓之３,三層,12,住宅大樓(11層含以上有電梯),集合住宅,3,2,2,有,有,有,23000,167,坡道平面,42.99,3000,,整棟(戶)出租,有,1140812~1150811,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
西屯區,租賃房屋,臺中市西屯區廣福路１６３巷５９弄１８號,全,4,透天厝,住宅、停車空間、樓梯間,5,2,3,有,有,有,31500,157,,0.0,0,多人共同承租2；,整棟(戶)出租,無,1140812~1150811,無,冷氣、熱水器、冰箱,社會住宅代管
西屯區,租賃房屋,臺中市西屯區順平路２１８號,全,5,透天厝,店鋪、住宅、機械室、樓梯間、水塔室,67,67,67,有,無,有,16000,872,,0.0,0,多人共同承租2；租金總額含水費；網路費；含增建或未登記建物；,分租套房,無,1140917~1150916,有,冷氣、洗衣機、電視機、冰箱、網路,一般轉租
西屯區,租賃房屋,臺中市西屯區西屯路三段１５９之１２號十四樓之１,十四層,16,住宅大樓(11層含以上有電梯),住家用,3,2,2,有,有,有,20000,234,,0.0,0,續租案件；,整棟(戶)出租,有,1140820~1150819,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
神岡區,租賃房屋,臺中市神岡區大富路６１巷６４號,一層,3,工廠,康樂室　廠房　辦公室　單身員工宿舍,0,0,0,無,無,無,40000,,,0.0,0,建物面積534.77平方公尺，租賃建物部分範圍：221.48平方公尺。租賃建物部分範圍，且未計入共有部分面積；,,無,1141001~1220930,無,,
中區,租賃房屋,臺中市中區光復路１３５號,全,5,透天厝,人行道，補習班，住房，機械室，停車空間，樓梯間，電梯間,16,0,16,有,無,有,12000,308,,0.0,0,多人共同承租2；,分租套房,無,1140811~1150810,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
西區,租賃房屋+車位,臺中市西區日興街９８號十樓之八,十層,10,華廈(10層含以下有電梯),辦公室,1,1,1,有,有,有,20600,294,坡道機械,13.9,2300,多人共同承租2；續租案件；,獨立套房,有,1140901~1150831,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
